pubDate,title,description
2025-12-15 10:16:00,서울 겨울밤 펼쳐지는 마법 같은 순간…빛초롱축제·광화문마켓 개막,"집현전 학사들, 서당의 훈장과 아이들, 보부상들 등의 정겨운 모습 뒤로, ‘케이팝 데몬 헌터스’ 사자보이즈를 연상케 하는 ‘한복 입은 남자’가 하늘을 우러르는 모습이 등장한다. 케데헌 사자보이즈와 백댄서인... "
2025-12-15 10:15:00,"“연말·크리스마스 선물 사세요”…네이버, 일주일간 ‘빅 멤버십데이...","넷플릭스의 ‘케이팝 데몬 헌터스’ 캐릭터 키링, 스포티파이 텀블러, 엑스박스 기프트 카드(3만원권) 등의 경품 이벤트를 준비했다. 각 디지털 콘텐츠를 이용하고 있는 멤버십 사용자라면 응모 가능하다."
2025-12-15 10:10:00,"네이버, 일주일간 'BIG 멤버십데이' 열고 '단골' 혜택 강화한다","네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자들에게 다채로운 혜택을 제공하고자, 넷플릭스의 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, Xbox기프트 카드(3만원권) 등의 경품 이벤트를... "
2025-12-15 10:10:00,"네이버, '빅 멤버십데이' 진행…연말 멤버십 혜택 강화","네이버플러스 멤버십으로 위 제휴사 콘텐츠를 이용하면 '케이팝 데몬 헌터스' 캐릭터 키링과 스포티파이 텀블러, 엑스박스 기프트카드 3만 원권 등을 받을 수 있다. 배달이나 케이크 사전 예약 등에 사용할 수 있는... "
2025-12-15 10:08:00,"네이버, 연말 맞이 'BIG 멤버십데이' 진행...&quot;단골 혜택 강화&quot;","네이버플러스 멤버십으로 해당 제휴사 콘텐츠를 이용하면 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, 엑스박스 기프트 카드 3만원권 등을 받을 수 있다. 배달 및 케이크 사전 예약 등에 사용할 수 있는... "
2025-12-15 10:08:00,"네이버, 연말 맞이 '빅 멤버십데이' 진행...400여개 상품 특가 제공","네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자들에게 다채로운 혜택을 제공하고자, 넷플릭스의 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, Xbox기프트 카드 등 경품 이벤트를 준비했다. 각... "
2025-12-15 10:06:00,"차학연, 日 팬미팅 성료 &quot;함께 해 행복... 팬분들께 정말 감사&quot;",여기에 '케이팝 데몬 헌터스' 속 사자보이즈의 '소다 팝'에 맞춰 댄스 커버를 펼쳐 팬들의 뜨거운 환호를 받았다. 차학연은 &quot;함께 해서 행복하고 즐거운 시간이었다. 늘 응원해 주시는 팬분들께 정말 감사드리고... 
2025-12-15 09:59:00,"빌보드 앨범차트, 케데헌 OST 3위·스트레이 키즈 10위",애니메이션 영화 '케이팝 데몬 헌터스' 오리지널사운드트랙(OST) 앨범과 보이그룹 스트레이 키즈의 '두 잇'이 빌보드 앨범차트 '톱 10'에 들었다. 14일(현지시간) 빌보드에 따르면 '케데헌' OST 앨범은 메인 앨범차트... 
2025-12-15 09:54:00,"네이버, 연말 맞이 ‘BIG 멤버십데이’ 일주일간 진행…‘단골’ 혜택 ...","네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자들에게는 넷플릭스의 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, Xbox기프트 카드(3만원권) 등의 경품 이벤트를 준비했습니다. 각 디지털... "
2025-12-15 09:54:00,"네이버, 일주일간 'BIG 멤버십데이' 개최… 단골 혜택 강화","네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자들에게 다채로운 혜택을 제공하고자 넷플릭스의 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, Xbox기프트 카드(3만원권) 등의 경품 이벤트를... "
2025-12-15 09:54:00,빌보드 앨범차트서 케데헌 OST 3위·스트레이 키즈 10위,"▲넷플릭스 애니메이션 영화 '케이팝 데몬 헌터스' 오리지널사운드트랙(OST) 앨범이 빌보드 앨범차트 '톱 10'에 들었다.(넷플릭스 제공, 출처=연합뉴스) 넷플릭스 애니메이션 영화 '케이팝 데몬 헌터스... "
2025-12-15 09:46:00,"네이버, 연말 ‘빅 멤버십데이’⋯&quot;멤버십 이용자 혜택 강화&quot;","네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자들에게 혜택을 제공하고자, 넷플릭스의 ‘케이팝 데몬 헌터스’ 캐릭터 키링, 스포티파이 텀블러, Xbox기프트 카드(3만원 권) 등의 경품 이벤트를 준비했다. 각... "
2025-12-15 09:46:00,"네이버, 'BIG 멤버십데이' 열고 '단골' 혜택 강화","네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자들에게 다채로운 혜택을 제공하고자, 넷플릭스의 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, Xbox기프트 카드(3만 원 권) 등의 경품 이벤트를... "
2025-12-15 09:44:00,에겐남·AI·트럼프 관세…올해 사회 소통 키워드 톱,"'개인정보 유출'(521만9천505건)과 '탄핵'(235만9천721건)이 각각 4위와 5위였고, '케이팝데몬헌터스(케데헌)'(161만8천864건), '민생회복 소비쿠폰'(99만7천219건), '3대 특검'(95만4천271건), 'APEC'(49만4천835건)... "
2025-12-15 09:42:00,"네이버, 'BIG 멤버십데이' 단골 혜택 강화","'넷플릭스' 인기 콘텐츠 케이팝 데몬 헌터스 키링부터 'Xbox' 기프트 카드 등 파트너사와 준비한 경품 이벤트도 풍성 넷플릭스, 스포티파이, 마이크로소프트 등 빅브랜드 파트너사와 함께 준비한 제휴 이벤트도... "
2025-12-15 09:42:00,"네이버, 21일까지 BIG 멤버십데이 진행…&quot;가전 등 최대 55% 할인&quot;","네이버플러스 멤버십을 통해 디지털 콘텐츠를 즐기는 사용자들에게 다채로운 혜택을 제공하고자 넷플릭스의 '케이팝 데몬 헌터스' 캐릭터 키링, 스포티파이 텀블러, 엑스박스 기프트 카드(3만원 권) 등의 경품 이벤트를... "
2025-12-15 09:40:00,2025년 결산: 질주하는 넷플릭스와 딜레마에 빠진 K콘텐츠 [김희경의 컬...,넷플릭스의 오리지널 콘텐츠 ‘케이팝 데몬 헌터스’(이하 케데헌)가 예상 밖의 글로벌 흥행을 이뤄낸 것이 대표적이다. ‘케데헌’은 한국 문화 자체가 콘텐츠가 될 수 있음을 증명해 보였다. 이에 따라 한국과 한국... 
